#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,gemv_nvfp4_kernel
47,00007ffc c55eb6e0,"      IMAD.IADD R6, R15, 0x1, R9",0,14,,Integer,32768,32,,,,,,,,,
48,00007ffc c55eb6f0,"      LDC R4, c[0x0][0x3ac]",0,13,25,Load/Store,458752,32,,,,,,,,,
49,00007ffc c55eb700,"      IMAD.SHL.U32 R3, R8, 0x10, RZ",0,14,7,Integer,458752,32,,,,,,,,,
50,00007ffc c55eb710,"      USHF.R.S32.HI UR6, URZ, 0x1f, UR4",0,14,2,Uniform Datapath,458752,32,,,,,,,,,
51,00007ffc c55eb720,"      IMAD.MOV.U32 R9, RZ, RZ, RZ",0,15,7,Integer,458752,32,,,,,,,,,
52,00007ffc c55eb730,"      IADD3 R28, P2, P3, R18, UR22, R8",0,16,5,Integer,458752,32,,,,,,,,,
53,00007ffc c55eb740,"      IMAD R13, R17, UR4, RZ",0,17,4,Integer,458752,32,,,,,,,,,
54,00007ffc c55eb750,"      BSSY.RECONVERGENT B1, 0x7ffcc55ec9e0",0,17,5,Control,458752,32,,,,,,,,,
55,00007ffc c55eb760,"      IMAD.WIDE.U32 R10, R16, UR4, R8",0,19,5,Integer,458752,32,,,,,,,,,
56,00007ffc c55eb770,"      IADD3.X R29, PT, PT, R5, UR23, RZ, P2, P3",0,19,3,Integer,458752,32,,,,,,,,,
57,00007ffc c55eb780,"      IMAD R13, R16, UR6, R13",0,19,21,Integer,458752,32,,,,,,,,,
58,00007ffc c55eb790,"      IADD3 R10, P1, PT, R10, UR20, RZ",0,19,3,Integer,458752,32,,,,,,,,,
59,00007ffc c55eb7a0,"      IADD3.X R11, PT, PT, R11, UR21, R13, P1, !PT",0,19,84,Integer,458752,32,,,,,,,,,
60,00007ffc c55eb7b0,"      ISETP.GE.AND P0, PT, R3, R4, PT",0,18,18,Integer,458752,32,,,,,,,,,
61,00007ffc c55eb7c0,@P0   BRA 0x7ffcc55ec9d0,0,18,61,Control,458752,,,,,,,,,,
62,00007ffc c55eb7d0,"      LDG.E.U8.CONSTANT R2, desc[UR12][R10.64]",0,18,29,Load/Store,458752,32,Global,Load,8,,,,,,
63,00007ffc c55eb7e0,"      LDC.64 R12, c[0x0][0x380]",0,18,4,Load/Store,458752,32,,,,,,,,,
64,00007ffc c55eb7f0,"      LDG.E.U8.CONSTANT R0, desc[UR12][R28.64]",0,19,15,Load/Store,458752,32,Global,Load,8,,,,,,
65,00007ffc c55eb800,"      SHF.R.U32.HI R23, RZ, 0x1, R3",0,18,4,Integer,458752,32,,,,,,,,,
66,00007ffc c55eb810,"      LDC.64 R10, c[0x0][0x388]",0,20,27,Load/Store,458752,32,,,,,,,,,
67,00007ffc c55eb820,"      IADD3 R24, P0, P1, R14, R12, R23",0,21,104,Integer,458752,32,,,,,,,,,
68,00007ffc c55eb830,"      IADD3.X R25, PT, PT, R6, R13, RZ, P0, P1",0,22,52,Integer,458752,32,,,,,,,,,
69,00007ffc c55eb840,"      IADD3 R22, P2, P3, R20, R10, R23",0,23,27,Integer,458752,32,,,,,,,,,
70,00007ffc c55eb850,"      LDG.E.U8.CONSTANT R9, desc[UR12][R24.64]",0,23,16,Load/Store,458752,32,Global,Load,8,,3211264,,,,
71,00007ffc c55eb860,"      IADD3.X R23, PT, PT, R26, R11, RZ, P2, P3",0,24,5,Integer,458752,32,,,,,,,,,
72,00007ffc c55eb870,"      LDG.E.U8.CONSTANT R27, desc[UR12][R22.64]",0,25,19,Load/Store,458752,32,Global,Load,8,,3211264,,,,
73,00007ffc c55eb880,"      F2FP.F16.E4M3.UNPACK_B R2, R2",0,25,1459,Other,458752,32,,,,,,,,,
74,00007ffc c55eb890,"      F2FP.F16.E4M3.UNPACK_B R0, R0",0,25,11,Other,458752,32,,,,,,,,,
75,00007ffc c55eb8a0,"      HADD2.F32 R2, -RZ, R2.H0_H0",0,25,13,Floating Point,458752,32,,,,,,,,,
76,00007ffc c55eb8b0,"      HADD2.F32 R0, -RZ, R0.H0_H0",0,25,8,Floating Point,458752,32,,,,,,,,,
77,00007ffc c55eb8c0,"      LOP3.LUT R9, R9, 0xf, RZ, 0xc0, !PT",0,25,1081,Integer,458752,32,,,,,,,,,
78,00007ffc c55eb8d0,"      LOP3.LUT R28, R27, 0xf, RZ, 0xc0, !PT",0,26,22,Integer,458752,32,,,,,,,,,
79,00007ffc c55eb8e0,"      F2FP.F16.E2M1.UNPACK_B R27, R9",0,26,9,Other,458752,32,,,,,,,,,
80,00007ffc c55eb8f0,"      F2FP.F16.E2M1.UNPACK_B R9, R28",0,26,5,Other,458752,32,,,,,,,,,
81,00007ffc c55eb900,"      HADD2.F32 R27, -RZ, R27.H0_H0",0,25,13,Floating Point,458752,32,,,,,,,,,
82,00007ffc c55eb910,"      HADD2.F32 R9, -RZ, R9.H0_H0",0,25,11,Floating Point,458752,32,,,,,,,,,
83,00007ffc c55eb920,"      FMUL.FTZ R28, R2, R27",0,26,17,Floating Point,458752,32,,,,,,,,,
84,00007ffc c55eb930,"      FMUL.FTZ R9, R0, R9",0,25,8,Floating Point,458752,32,,,,,,,,,
85,00007ffc c55eb940,"      FFMA.FTZ R7, R28, R9, R7",0,25,23,Floating Point,458752,32,,,,,,,,,
86,00007ffc c55eb950,"      VIADD R9, R3, 0x1",0,24,5,Integer,458752,32,,,,,,,,,
87,00007ffc c55eb960,"      ISETP.GE.AND P0, PT, R9, R4, PT",0,24,79,Integer,458752,32,,,,,,,,,
88,00007ffc c55eb970,@P0   BRA 0x7ffcc55ec9d0,0,24,75,Control,458752,,,,,,,,,,
