idc__request_cycles_active.avg.pct_of_peak_sustained_elapsed [%],6.14
idc__request_cycles_active.max.pct_of_peak_sustained_elapsed [%],6.30
idc__request_cycles_active.min.pct_of_peak_sustained_elapsed [%],5.84
idc__request_cycles_active.sum.pct_of_peak_sustained_elapsed [%],6.14
idc__request_hit_rate.pct [%],99.71
idc__requests.sum,"1,507,328"
idc__requests.sum.pct_of_peak_sustained_elapsed [%],6.12
inst_executed [inst],"143,622,144 {415}"
l1tex__cycles_active.avg [cycle],"324,295.19"
l1tex__cycles_active.max [cycle],"334,317"
l1tex__cycles_active.min [cycle],"307,629"
l1tex__cycles_active.sum [cycle],"47,995,688"
l1tex__cycles_elapsed.avg [cycle],"332,879.54"
l1tex__cycles_elapsed.avg.per_second [Ghz],1.12
l1tex__cycles_elapsed.max [cycle],"340,185"
l1tex__cycles_elapsed.max.per_second [Ghz],1.15
l1tex__cycles_elapsed.min [cycle],"318,810"
l1tex__cycles_elapsed.min.per_second [Ghz],1.07
l1tex__cycles_elapsed.sum [cycle],"49,266,172"
l1tex__cycles_elapsed.sum.per_second [Ghz],166.03
l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,"2,042"
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_atom.sum,0
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,95
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ldgsts.sum,0
l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,"1,982"
l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed [%],15.20
l1tex__data_bank_reads.max.pct_of_peak_sustained_elapsed [%],15.58
l1tex__data_bank_reads.min.pct_of_peak_sustained_elapsed [%],14.48
l1tex__data_bank_reads.sum.pct_of_peak_sustained_elapsed [%],15.20
l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed [%],1.15
l1tex__data_bank_writes.max.pct_of_peak_sustained_elapsed [%],1.18
l1tex__data_bank_writes.min.pct_of_peak_sustained_elapsed [%],1.10
l1tex__data_bank_writes.sum.pct_of_peak_sustained_elapsed [%],1.15
l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed [%],63.69
l1tex__data_pipe_lsu_wavefronts.max.pct_of_peak_sustained_elapsed [%],65.30
l1tex__data_pipe_lsu_wavefronts.min.pct_of_peak_sustained_elapsed [%],60.69
l1tex__data_pipe_lsu_wavefronts.sum.pct_of_peak_sustained_elapsed [%],63.69
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,"818,709"
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed [%],1.66
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_atom.sum,0
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_atom.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum,"360,543"
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum.pct_of_peak_sustained_elapsed [%],0.73
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum,"198,590"
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum.pct_of_peak_sustained_elapsed [%],0.40
l1tex__data_pipe_tc_wavefronts_mem_shared.sum,0
l1tex__data_pipe_tc_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__data_pipe_tc_wavefronts_mem_shared_op_utccp.sum,0
l1tex__data_pipe_tc_wavefronts_mem_shared_op_utccp.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed [%],0
l1tex__data_pipe_tex_wavefronts.max.pct_of_peak_sustained_elapsed [%],0
l1tex__data_pipe_tex_wavefronts.min.pct_of_peak_sustained_elapsed [%],0
l1tex__data_pipe_tex_wavefronts.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed [%],0
l1tex__f_wavefronts.max.pct_of_peak_sustained_elapsed [%],0
l1tex__f_wavefronts.min.pct_of_peak_sustained_elapsed [%],0
l1tex__f_wavefronts.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed [%],32.53
l1tex__lsu_writeback_active.max.pct_of_peak_sustained_elapsed [%],33.35
l1tex__lsu_writeback_active.min.pct_of_peak_sustained_elapsed [%],31.14
l1tex__lsu_writeback_active.sum.pct_of_peak_sustained_elapsed [%],32.53
l1tex__lsu_writeback_active_mem_lgds.sum [cycle],"15,600,089"
l1tex__lsu_writeback_active_mem_lgds.sum.pct_of_peak_sustained_elapsed [%],31.66
l1tex__lsu_writeback_active_mem_lgds.sum.peak_sustained,148
l1tex__lsu_writeback_active_mem_lgds.sum.per_second [Ghz],52.57
l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed [%],32.99
l1tex__lsuin_requests.max.pct_of_peak_sustained_elapsed [%],33.97
l1tex__lsuin_requests.min.pct_of_peak_sustained_elapsed [%],31.44
l1tex__lsuin_requests.sum.pct_of_peak_sustained_elapsed [%],32.99
l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed [%],2.07
l1tex__m_l1tex2xbar_req_cycles_active.max.pct_of_peak_sustained_elapsed [%],2.12
l1tex__m_l1tex2xbar_req_cycles_active.min.pct_of_peak_sustained_elapsed [%],1.98
l1tex__m_l1tex2xbar_req_cycles_active.sum.pct_of_peak_sustained_elapsed [%],2.07
l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],1.05
l1tex__m_l1tex2xbar_write_bytes.sum.pct_of_peak_sustained_elapsed [%],0.07
l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/s],3.53
l1tex__m_l1tex2xbar_write_bytes_mem_dshared.sum [byte],0
l1tex__m_l1tex2xbar_write_bytes_mem_dshared.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_l1tex2xbar_write_bytes_mem_dshared.sum.per_second [byte/s],0
l1tex__m_l1tex2xbar_write_bytes_mem_global_op_tma_red.sum [byte],0
l1tex__m_l1tex2xbar_write_bytes_mem_global_op_tma_red.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_l1tex2xbar_write_bytes_mem_global_op_tma_red.sum.per_second [byte/s],0
l1tex__m_l1tex2xbar_write_bytes_mem_global_op_tma_st.sum [byte],0
l1tex__m_l1tex2xbar_write_bytes_mem_global_op_tma_st.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_l1tex2xbar_write_bytes_mem_global_op_tma_st.sum.per_second [byte/s],0
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_atom.sum [sector],0
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_atom.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_atom.sum.per_second [sector/s],0
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_ld.sum [sector],0
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_ld.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_ld.sum.per_second [sector/s],0
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_redas.sum [sector],0
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_redas.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_redas.sum.per_second [sector/s],0
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_st.sum [sector],0
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_st.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_st.sum.per_second [sector/s],0
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_tma_red.sum [sector],0
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_tma_red.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_tma_st.sum [sector],0
l1tex__m_l1tex2xbar_write_sectors_mem_dshared_op_tma_st.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_atom.sum [sector],0
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_red.sum [sector],0
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_red.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_tma_red.sum [sector],0
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_tma_red.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_tma_red.sum.per_second [sector/s],0
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_tma_st.sum [sector],0
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_tma_st.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_tma_st.sum.per_second [sector/s],0
l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st.sum [sector],"32,766"
l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st.sum.pct_of_peak_sustained_elapsed [%],0.07
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_atom.sum [sector],0
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_red.sum [sector],0
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_red.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_st.sum [sector],0
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_st.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],137.15
l1tex__m_xbar2l1tex_read_bytes.sum.pct_of_peak_sustained_elapsed [%],2.17
l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/s],462.21
l1tex__m_xbar2l1tex_read_bytes_mem_dshared.sum [byte],0
l1tex__m_xbar2l1tex_read_bytes_mem_dshared.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_bytes_mem_dshared.sum.per_second [byte/s],0
l1tex__m_xbar2l1tex_read_bytes_mem_global_op_tma_ld.sum [byte],0
l1tex__m_xbar2l1tex_read_bytes_mem_global_op_tma_ld.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_bytes_mem_global_op_tma_ld.sum.per_second [byte/s],0
l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed [%],2.17
l1tex__m_xbar2l1tex_read_sectors.max.pct_of_peak_sustained_elapsed [%],2.24
l1tex__m_xbar2l1tex_read_sectors.min.pct_of_peak_sustained_elapsed [%],2.08
l1tex__m_xbar2l1tex_read_sectors.sum.pct_of_peak_sustained_elapsed [%],2.17
l1tex__m_xbar2l1tex_read_sectors_mem_dshared.avg.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared.max.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared.min.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_atom.sum [sector],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_atom.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_atom.sum.per_second [sector/s],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_ld.sum [sector],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_ld.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_ld.sum.per_second [sector/s],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_redas.sum [sector],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_redas.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_redas.sum.per_second [sector/s],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_st.sum [sector],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_st.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_st.sum.per_second [sector/s],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_tma_red.sum [sector],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_tma_red.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_tma_st.sum [sector],0
l1tex__m_xbar2l1tex_read_sectors_mem_dshared_op_tma_st.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_sectors_mem_global_op_atom.sum [sector],0
l1tex__m_xbar2l1tex_read_sectors_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_sectors_mem_global_op_tma_ld.sum [sector],0
l1tex__m_xbar2l1tex_read_sectors_mem_global_op_tma_ld.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_sectors_mem_global_op_tma_ld.sum.per_second [sector/s],0
l1tex__m_xbar2l1tex_read_sectors_mem_lg_op_ld.sum [sector],"4,285,431"
l1tex__m_xbar2l1tex_read_sectors_mem_lg_op_ld.sum.pct_of_peak_sustained_elapsed [%],2.17
l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_atom.sum [sector],0
l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_ld.sum [sector],0
l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_ld.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__m_xbar2l1tex_read_sectors_mem_texture.sum [sector],0
l1tex__m_xbar2l1tex_read_sectors_mem_texture.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_bytes_pipe_lsu_mem_global_op_ldgsts_cache_access.sum [byte],0
l1tex__t_bytes_pipe_lsu_mem_global_op_ldgsts_cache_access.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_bytes_pipe_lsu_mem_global_op_ldgsts_cache_access.sum.per_second [byte/s],0
l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_atom.sum,0
l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_ld.sum,0
l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_ld.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_redas.sum,0
l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_redas.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_st.sum,0
l1tex__t_output_wavefronts_pipe_lsu_mem_dshared_op_st.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_atom.sum,0
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_ld.sum,"15,597,568"
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed [%],31.66
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_red.sum,0
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_red.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_st.sum,"32,768"
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_st.sum.pct_of_peak_sustained_elapsed [%],0.07
l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_ld.sum,0
l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_ld.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_st.sum,0
l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_st.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_atom.sum,0
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_ld.sum,0
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_ld.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_red.sum,0
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_red.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_st.sum,0
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_st.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_output_wavefronts_pipe_tex_mem_texture.sum,0
l1tex__t_output_wavefronts_pipe_tex_mem_texture.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_requests_pipe_lsu_mem_dshared_op_atom.sum,0
l1tex__t_requests_pipe_lsu_mem_dshared_op_atom.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_requests_pipe_lsu_mem_dshared_op_ld.sum,0
l1tex__t_requests_pipe_lsu_mem_dshared_op_ld.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_requests_pipe_lsu_mem_dshared_op_redas.sum,0
l1tex__t_requests_pipe_lsu_mem_dshared_op_redas.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_requests_pipe_lsu_mem_dshared_op_st.sum,0
l1tex__t_requests_pipe_lsu_mem_dshared_op_st.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum,0
l1tex__t_requests_pipe_lsu_mem_global_op_atom.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum,"15,597,568"
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum.pct_of_peak_sustained_elapsed [%],31.66
l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_requests_pipe_lsu_mem_global_op_st.sum,"32,768"
l1tex__t_requests_pipe_lsu_mem_global_op_st.sum.pct_of_peak_sustained_elapsed [%],0.07
l1tex__t_requests_pipe_lsu_mem_local_op_ld.sum,0
l1tex__t_requests_pipe_lsu_mem_local_op_ld.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_requests_pipe_lsu_mem_local_op_st.sum,0
l1tex__t_requests_pipe_lsu_mem_local_op_st.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_requests_pipe_tex_mem_surface_op_atom.sum,0
l1tex__t_requests_pipe_tex_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_requests_pipe_tex_mem_surface_op_ld.sum,0
l1tex__t_requests_pipe_tex_mem_surface_op_ld.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_requests_pipe_tex_mem_surface_op_red.sum,0
l1tex__t_requests_pipe_tex_mem_surface_op_red.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_requests_pipe_tex_mem_surface_op_st.sum,0
l1tex__t_requests_pipe_tex_mem_surface_op_st.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_requests_pipe_tex_mem_texture.sum,0
l1tex__t_requests_pipe_tex_mem_texture.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__t_sector_hit_rate.pct [%],96.36
l1tex__t_sector_pipe_lsu_mem_global_op_atom_hit_rate.pct [%],0
l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct [%],96.38
l1tex__t_sector_pipe_lsu_mem_global_op_red_hit_rate.pct [%],0
l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate.pct [%],13.74
l1tex__t_sector_pipe_lsu_mem_local_op_ld_hit_rate.pct [%],0
l1tex__t_sector_pipe_lsu_mem_local_op_st_hit_rate.pct [%],0
l1tex__t_sector_pipe_tex_mem_surface_op_atom_hit_rate.pct [%],0
l1tex__t_sector_pipe_tex_mem_surface_op_ld_hit_rate.pct [%],0
l1tex__t_sector_pipe_tex_mem_surface_op_red_hit_rate.pct [%],0
l1tex__t_sector_pipe_tex_mem_surface_op_st_hit_rate.pct [%],0
l1tex__t_sector_pipe_tex_mem_texture_op_tex_hit_rate.pct [%],0
l1tex__t_sectors_pipe_lsu_mem_dshared_op_atom.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_dshared_op_atom_lookup_miss.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_dshared_op_ld.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_dshared_op_ld_lookup_miss.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_dshared_op_redas.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_dshared_op_redas_lookup_miss.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_dshared_op_st.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_dshared_op_st_lookup_miss.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_global_op_atom.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_global_op_atom_lookup_hit.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_global_op_atom_lookup_miss.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum [sector],"118,358,016"
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit.sum [sector],"114,072,583"
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum [sector],"4,285,433"
l1tex__t_sectors_pipe_lsu_mem_global_op_red.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_hit.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_miss.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum [sector],"32,768"
l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_hit.sum [sector],"4,503"
l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_miss.sum [sector],"28,265"
l1tex__t_sectors_pipe_lsu_mem_local_op_ld.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_hit.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_miss.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_local_op_st.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_local_op_st_lookup_hit.sum [sector],0
l1tex__t_sectors_pipe_lsu_mem_local_op_st_lookup_miss.sum [sector],0
l1tex__t_sectors_pipe_tex_mem_surface_op_atom.sum [sector],0
l1tex__t_sectors_pipe_tex_mem_surface_op_atom_lookup_hit.sum [sector],0
l1tex__t_sectors_pipe_tex_mem_surface_op_atom_lookup_miss.sum [sector],0
l1tex__t_sectors_pipe_tex_mem_surface_op_ld.sum [sector],0
l1tex__t_sectors_pipe_tex_mem_surface_op_ld_lookup_hit.sum [sector],0
l1tex__t_sectors_pipe_tex_mem_surface_op_ld_lookup_miss.sum [sector],0
l1tex__t_sectors_pipe_tex_mem_surface_op_red.sum [sector],0
l1tex__t_sectors_pipe_tex_mem_surface_op_red_lookup_hit.sum [sector],0
l1tex__t_sectors_pipe_tex_mem_surface_op_red_lookup_miss.sum [sector],0
l1tex__t_sectors_pipe_tex_mem_surface_op_st.sum [sector],0
l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_hit.sum [sector],0
l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_miss.sum [sector],0
l1tex__t_sectors_pipe_tex_mem_texture.sum [sector],0
l1tex__t_sectors_pipe_tex_mem_texture_lookup_hit.sum [sector],0
l1tex__t_sectors_pipe_tex_mem_texture_lookup_miss.sum [sector],0
l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed [%],0
l1tex__tex_writeback_active.max.pct_of_peak_sustained_elapsed [%],0
l1tex__tex_writeback_active.min.pct_of_peak_sustained_elapsed [%],0
l1tex__tex_writeback_active.sum [cycle],0
l1tex__tex_writeback_active.sum.pct_of_peak_sustained_elapsed [%],0
l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed [%],0.00
l1tex__texin_sm2tex_req_cycles_active.max.pct_of_peak_sustained_elapsed [%],0.00
l1tex__texin_sm2tex_req_cycles_active.min.pct_of_peak_sustained_elapsed [%],0.00
l1tex__texin_sm2tex_req_cycles_active.sum.pct_of_peak_sustained_elapsed [%],0.00
l1tex__throughput.avg.pct_of_peak_sustained_active [%],65.37
l1tex__throughput.avg.pct_of_peak_sustained_elapsed [%],63.69
l1tex__throughput.max.pct_of_peak_sustained_active [%],67.03
l1tex__throughput.max.pct_of_peak_sustained_elapsed [%],65.30
l1tex__throughput.min.pct_of_peak_sustained_active [%],62.30
l1tex__throughput.min.pct_of_peak_sustained_elapsed [%],60.69
l1tex__throughput.sum.pct_of_peak_sustained_active [%],65.37
l1tex__throughput.sum.pct_of_peak_sustained_elapsed [%],63.69
l1tex__tmain_requests.avg.pct_of_peak_sustained_elapsed [%],0
l1tex__tmain_requests.max.pct_of_peak_sustained_elapsed [%],0
l1tex__tmain_requests.min.pct_of_peak_sustained_elapsed [%],0
l1tex__tmain_requests.sum.pct_of_peak_sustained_elapsed [%],0
launch__barrier_count,1
launch__block_dim_x [block],32
launch__block_dim_y [block],1
launch__block_dim_z [block],1
launch__block_size,32
launch__cluster_dim_x,0
launch__cluster_dim_y,0
launch__cluster_dim_z,0
launch__cluster_max_active [cluster],0
launch__cluster_max_potential_size [block],8
launch__cluster_scheduling_policy,PolicySpread
launch__cluster_size,0
launch__context_id,1
launch__device_id,0
launch__func_cache_config,CachePreferNone
launch__function_pcs,1
launch__grid_dim_x,"4,096"
launch__grid_dim_y,8
launch__grid_dim_z,1
launch__grid_size,"32,768"
launch__kernel_name,{1}
launch__occupancy_cluster_gpu_pct [%],0
launch__occupancy_cluster_pct [%],0
launch__occupancy_limit_barriers [block],32
launch__occupancy_limit_blocks [block],32
launch__occupancy_limit_registers [block],64
launch__occupancy_limit_shared_mem [block],56
launch__occupancy_limit_warps [block],64
launch__occupancy_per_barrier_count,280 {65}
launch__occupancy_per_block_size,"3,670 {65}"
launch__occupancy_per_cluster_size,0
launch__occupancy_per_register_count,"4,512 {257}"
launch__occupancy_per_shared_mem_size,865 {456}
launch__persisting_l2_cache_size [Mbyte],24.87
launch__preferred_cluster_dim_x,0
launch__preferred_cluster_dim_y,0
launch__preferred_cluster_dim_z,0
launch__preferred_cluster_size,0
launch__registers_per_thread [register/thread],32
launch__registers_per_thread_allocated [register/thread],32
launch__shared_mem_config_size [Kbyte],65.54
launch__shared_mem_per_block [Kbyte/block],1.15
launch__shared_mem_per_block_allocated [Kbyte/block],1.15
launch__shared_mem_per_block_driver [Kbyte/block],1.02
launch__shared_mem_per_block_dynamic [byte/block],0
launch__shared_mem_per_block_static [byte/block],128
launch__sm_count [SM],148
launch__stack_size,"1,024"
launch__stream_id,7
launch__thread_count [thread],"1,048,576"
launch__tpc_count,74
launch__tpc_enabled,all
launch__uses_cdp,0
launch__uses_green_context,0
launch__uses_mps,0
launch__uses_nvlink_centric_scheduling,0
