#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,cutlass3x_sm100_bstensorop_s256x128x64gemm_block_scaled_ue4m3xf4_ue4m3xf4_f32_f16_f16_256x128x256_0_tnn_align32_o_vs16_2sm_bias_f16_relu
40,00007ffc 5992d770,"      ISETP.NE.U32.AND P0, PT, RZ, UR20, PT",0,60,,Integer,,,,,,,,,,,
41,00007ffc 5992d780,"      ISETP.NE.AND P1, PT, R0, 0x1, PT",0,60,,Integer,,,,,,,,,,,
42,00007ffc 5992d790,"      ISETP.NE.AND.EX P0, PT, RZ, UR21, PT, P0",0,59,,Integer,,,,,,,,,,,
43,00007ffc 5992d7a0,"@P1   BRA P0, 0x7ffc59935080",0,59,,Control,,,,,,,,,,,
44,00007ffc 5992d7b0,"      LDC.64 R6, c[0x0][0x1610]",0,61,,Load/Store,,,,,,,,,,,
45,00007ffc 5992d7c0,"      LDG.E R0, desc[UR32][R6.64]",0,62,,Load/Store,,,,,,,,,,,
46,00007ffc 5992d7d0,"      FSETP.NEU.AND P1, PT, R0, RZ, PT",0,60,,Floating Point,,,,,,,,,,,
47,00007ffc 5992d7e0,@P1   BRA 0x7ffc59935080,0,59,,Control,896,,,,,,,,,,
48,00007ffc 5992d7f0,"      S2R R48, SR_TID.X",0,53,,Miscellaneous,896,32,,,,,,,,,
49,00007ffc 5992d800,"      S2UR UR20, SR_CgaCtaId",0,53,,Uniform Datapath,896,32,,,,,,,,,
50,00007ffc 5992d810,"      UISETP.NE.U32.AND UP0, UPT, UR18, URZ, UPT",0,53,,Uniform Datapath,896,32,,,,,,,,,
51,00007ffc 5992d820,"      ELECT P6, URZ, PT",0,53,,Control,896,32,,,,,,,,,
