#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,gemv_nvfp4_kernel
48,00007ffc 155eb6f0,"      HFMA2 R17, -RZ, RZ, 0, 0",0,13,1,Floating Point,32768,32,,,,,,,,
49,00007ffc 155eb700,"      ISETP.GE.AND P0, PT, R2, UR5, PT",0,13,,Integer,32768,32,,,,,,,,
50,00007ffc 155eb710,"      IMAD R5, R3, UR6, RZ",0,14,8,Integer,32768,32,,,,,,,,
51,00007ffc 155eb720,"      IMAD R7, R0, UR10, R5",0,15,7,Integer,32768,32,,,,,,,,
52,00007ffc 155eb730,"      IMAD.WIDE.U32 R22, R0, UR6, R22",0,14,6,Integer,32768,32,,,,,,,,
53,00007ffc 155eb740,@P0   BRA 0x7ffc155ecb40,0,14,5,Control,32768,,,,,,,,,
54,00007ffc 155eb750,"      LOP3.LUT R4, RZ, R2, RZ, 0x33, !PT",0,14,2,Integer,32768,32,,,,,,,,
55,00007ffc 155eb760,"      IMAD.WIDE.U32 R24, R0, UR5, RZ",0,16,,Integer,32768,32,,,,,,,,
56,00007ffc 155eb770,"      IADD3 R5, PT, PT, R47, R9, RZ",0,17,,Integer,32768,32,,,,,,,,
57,00007ffc 155eb780,"      BSSY.RECONVERGENT B1, 0x7ffc155ebd50",0,15,,Control,32768,32,,,,,,,,
58,00007ffc 155eb790,"      IADD3 R4, PT, PT, R4, UR5, RZ",0,15,,Integer,32768,32,,,,,,,,
59,00007ffc 155eb7a0,"      IMAD R9, R3, UR5, RZ",0,16,,Integer,32768,32,,,,,,,,
60,00007ffc 155eb7b0,"      IADD3 R7, PT, PT, R23, R7, RZ",0,16,2,Integer,32768,32,,,,,,,,
61,00007ffc 155eb7c0,"      LOP3.LUT R6, R4, 0x60, RZ, 0xc0, !PT",0,16,2,Integer,32768,32,,,,,,,,
62,00007ffc 155eb7d0,"      IMAD R9, R0, UR11, R9",0,16,,Integer,32768,32,,,,,,,,
63,00007ffc 155eb7e0,"      ISETP.GE.U32.AND P0, PT, R4, 0x60, PT",0,16,,Integer,32768,32,,,,,,,,
64,00007ffc 155eb7f0,"      ISETP.NE.AND P1, PT, R6, 0x60, PT",0,16,4,Integer,32768,32,,,,,,,,
