#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,cutlass3x_sm100_bstensorop_s256x128x64gemm_block_scaled_ue4m3xf4_ue4m3xf4_f32_f16_f16_256x128x256_0_tnn_align32_o_vs16_2sm_bias_f16_relu
46,00007ffb 7b52d7d0,"      FSETP.NEU.AND P1, PT, R0, RZ, PT",0,60,,Floating Point,,,,,,,,,,,
47,00007ffb 7b52d7e0,@P1   BRA 0x7ffb7b535080,0,59,,Control,512,,,,,,,,,,
48,00007ffb 7b52d7f0,"      S2R R48, SR_TID.X",0,53,,Miscellaneous,512,32,,,,,,,,,
49,00007ffb 7b52d800,"      S2UR UR20, SR_CgaCtaId",0,53,,Uniform Datapath,512,32,,,,,,,,,
50,00007ffb 7b52d810,"      UISETP.NE.U32.AND UP0, UPT, UR18, URZ, UPT",0,53,,Uniform Datapath,512,32,,,,,,,,,
51,00007ffb 7b52d820,"      ELECT P6, URZ, PT",0,53,,Control,512,32,,,,,,,,,
52,00007ffb 7b52d830,"      UISETP.NE.AND.EX UP0, UPT, UR19, URZ, UPT, UP0",0,53,,Uniform Datapath,512,32,,,,,,,,,
53,00007ffb 7b52d840,"      CS2R.32 R8, SR_CgaSize",0,54,,Miscellaneous,512,32,,,,,,,,,
54,00007ffb 7b52d850,"      IMAD R8, R8, -0xa0, RZ",0,54,,Integer,512,32,,,,,,,,,
55,00007ffb 7b52d860,"      R2UR UR7, R8",0,54,,Uniform Datapath,512,32,,,,,,,,,
56,00007ffb 7b52d870,"      LDCU UR7, c[0x0][UR7+0x2a0]",0,53,,Uniform Datapath,512,32,,,,,,,,,
57,00007ffb 7b52d880,"      CS2R.32 R8, SR_CgaSize",0,54,,Miscellaneous,512,32,,,,,,,,,
58,00007ffb 7b52d890,"      IMAD R8, R8, -0xa0, RZ",0,54,,Integer,512,32,,,,,,,,,
59,00007ffb 7b52d8a0,"      R2UR UR4, R8",0,54,,Uniform Datapath,512,32,,,,,,,,,
60,00007ffb 7b52d8b0,"      LDCU UR4, c[0x0][UR4+0x2a4]",0,53,,Uniform Datapath,512,32,,,,,,,,,
61,00007ffb 7b52d8c0,"      ULOP3.LUT UR25, UR20, 0x1, URZ, 0xc0, !UPT",0,53,,Uniform Datapath,512,32,,,,,,,,,
62,00007ffb 7b52d8d0,"      ULOP3.LUT UR24, UR20, 0x1, URZ, 0x3c, !UPT",0,53,,Uniform Datapath,512,32,,,,,,,,,
63,00007ffb 7b52d8e0,"      SHF.R.U32.HI R8, RZ, 0x5, R48",0,54,,Integer,512,32,,,,,,,,,
64,00007ffb 7b52d8f0,"      SHFL.IDX PT, R0, R8, RZ, 0x1f",0,55,,Movement,512,32,,,,,,,,,
65,00007ffb 7b52d900,"      R2UR UR21, R0",0,55,,Uniform Datapath,512,32,,,,,,,,,
66,00007ffb 7b52d910,"      BRA.U UP0, 0x7ffb7b52d990",0,54,1,Control,512,32,,,,,,,,,
67,00007ffb 7b52d920,"      UISETP.NE.U32.AND UP0, UPT, UR16, URZ, UPT",0,53,,Uniform Datapath,512,32,,,,,,,,,
68,00007ffb 7b52d930,"      UISETP.NE.AND.EX UP0, UPT, UR17, URZ, UPT, UP0",0,53,,Uniform Datapath,512,32,,,,,,,,,
69,00007ffb 7b52d940,"      BRA.U !UP0, 0x7ffb7b52d980",0,53,,Control,512,32,,,,,,,,,
70,00007ffb 7b52d950,"      LDC.64 R2, c[0x0][0x1368]",0,55,,Load/Store,,,,,,,,,,,
71,00007ffb 7b52d960,"      LDG.E R41, desc[UR32][R2.64]",0,56,,Load/Store,,,,,,,,,,,
72,00007ffb 7b52d970,      BRA 0x7ffb7b52d990,0,54,,Control,,,,,,,,,,,
73,00007ffb 7b52d980,"      LDC R41, c[0x0][0x1360]",0,54,,Load/Store,512,32,,,,,,,,,
74,00007ffb 7b52d990,"      IMAD.U32 R0, RZ, RZ, UR21",0,55,,Integer,512,32,,,,,,,,,
75,00007ffb 7b52d9a0,"      UISETP.NE.AND UP0, UPT, UR4, UR11, UPT",0,55,,Uniform Datapath,512,32,,,,,,,,,
76,00007ffb 7b52d9b0,"      BSSY.RECONVERGENT B0, 0x7ffb7b52db80",0,55,,Control,512,32,,,,,,,,,
77,00007ffb 7b52d9c0,"      UMOV UR70, 0xc80",0,55,,Uniform Datapath,512,32,,,,,,,,,
78,00007ffb 7b52d9d0,"      UMOV UR66, 0xe00",0,55,,Uniform Datapath,512,32,,,,,,,,,
79,00007ffb 7b52d9e0,"      ISETP.NE.OR P1, PT, R0, 0x1, !P6",0,55,,Integer,512,32,,,,,,,,,
80,00007ffb 7b52d9f0,"      UISETP.EQ.AND UP0, UPT, UR7, UR10, !UP0",0,55,,Uniform Datapath,512,32,,,,,,,,,
81,00007ffb 7b52da00,"      ISETP.NE.OR P0, PT, R0, 0x3, !P6",0,55,,Integer,512,32,,,,,,,,,
82,00007ffb 7b52da10,"      UMOV UR68, 0xd40",0,54,,Uniform Datapath,512,32,,,,,,,,,
83,00007ffb 7b52da20,"      UMOV UR56, 0xec0",0,54,,Uniform Datapath,512,32,,,,,,,,,
84,00007ffb 7b52da30,"      USEL UR70, UR70, 0x980, UP0",0,54,1,Uniform Datapath,512,32,,,,,,,,,
85,00007ffb 7b52da40,"      USEL UR66, UR66, 0xb00, UP0",0,54,,Uniform Datapath,512,32,,,,,,,,,
86,00007ffb 7b52da50,"      USEL UR68, UR68, 0xa40, UP0",0,54,,Uniform Datapath,512,32,,,,,,,,,
87,00007ffb 7b52da60,"      USEL UR56, UR56, 0xbc0, UP0",0,54,,Uniform Datapath,512,32,,,,,,,,,
88,00007ffb 7b52da70,@P1   BRA 0x7ffb7b52db70,0,54,,Control,512,31,,,,,,,,,
89,00007ffb 7b52da80,"      LDCU.64 UR14, c[0x0][0x348]",0,54,,Uniform Datapath,64,1,,,,,,,,,
90,00007ffb 7b52da90,"      UMOV UR10, UR70",0,54,,Uniform Datapath,64,1,,,,,,,,,
91,00007ffb 7b52daa0,"      UMOV UR11, URZ",0,54,,Uniform Datapath,64,1,,,,,,,,,
92,00007ffb 7b52dab0,"      UIADD3.64 UR22, UPT, UPT, UR14, UR10, URZ",0,54,2,Uniform Datapath,64,1,,,,,,,,,
93,00007ffb 7b52dac0,"      UMOV UR10, UR68",0,54,,Uniform Datapath,64,1,,,,,,,,,
94,00007ffb 7b52dad0,"      UIADD3.64 UR18, UPT, UPT, UR14, UR10, URZ",0,54,,Uniform Datapath,64,1,,,,,,,,,
95,00007ffb 7b52dae0,"      UMOV UR10, UR66",0,54,,Uniform Datapath,64,1,,,,,,,,,
96,00007ffb 7b52daf0,      UTMACCTL.PF [UR22],0,54,,Tensor Memory Access,64,1,,,,,,,,,
97,00007ffb 7b52db00,"      UIADD3.64 UR16, UPT, UPT, UR14, UR10, URZ",0,54,,Uniform Datapath,64,1,,,,,,,,,
98,00007ffb 7b52db10,      UTMACCTL.PF [UR18],0,54,,Tensor Memory Access,64,1,,,,,,,,,
99,00007ffb 7b52db20,"      UMOV UR10, UR56",0,54,,Uniform Datapath,64,1,,,,,,,,,
100,00007ffb 7b52db30,"      UIADD3.64 UR14, UPT, UPT, UR14, UR10, URZ",0,54,,Uniform Datapath,64,1,,,,,,,,,
